column	type	label	min	max
loop_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for loop diuretic drug use 10+ years prior to index date	9867	18038
loop_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for loop diuretic drug use 10+ years prior to index date	0	1
cmpd_analg_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for compound analgesics use 10+ years prior to index date	9873	18085
cmpd_analg_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for compound analgesics use 10+ years prior to index date	0	1
PPI_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for PPI drug use 10+ years prior to index date	11022	18085
PPI_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for PPI drug use 10+ years prior to index date	0	1
H2recanta_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for H2 receptor antagonist drug use 10+ years prior to index date	10232	17988
H2recanta_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for H2 receptor antagonist drug use 10+ years prior to index date	0	1
imm_resp_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for immune response drug use 10+ years prior to index date	10937	18052
imm_resp_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for immune response drug use 10+ years prior to index date	0	1
azathioprine_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for azathioprine drug use 10+ years prior to index date	10937	18052
azathioprine_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for azathioprine drug use 10+ years prior to index date	0	1
methotrexate_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for methotrexate drug use 10+ years prior to index date	11339	17393
methotrexate_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for methotrexate drug use 10+ years prior to index date	0	1
SABA_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for SABA drug use 10+ years prior to index date	9888	18044
SABA_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for SABA drug use 10+ years prior to index date	0	1
LABA_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for LABA drug use 10+ years prior to index date	11358	18007
LABA_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for LABA drug use 10+ years prior to index date	0	1
mucolytic_alt_gt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for mucolytic drug use 10+ years prior to index date	10581	17983
mucolytic_alt_gt10	numeric	Flag: ever have 2+ codes w/in 6 months for mucolytic drug use 10+ years prior to index date	0	1
antacid_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for antacid use 1-10 years prior to index date	9999	21348
antacid_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for antacid use 1-10 years prior to index date	0	1
antimuscbronc_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for antimuscbronc drug use 1-10 years prior to index date	10433	20955
antimuscbronc_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for antimuscbronc drug use 1-10 years prior to index date	0	1
steroidsoral_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for oral steroid drug use 1-10 years prior to index date	10132	21222
steroidsoral_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for oral steroid drug use 1-10 years prior to index date	0	1
oraliron_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for oral iron use 1-10 years prior to index date	10323	21277
oraliron_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for oral iron use 1-10 years prior to index date	0	1
loop_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for loop diuretic drug use 1-10 years prior to index date	9957	21312
loop_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for loop diuretic drug use 1-10 years prior to index date	0	1
cmpd_analg_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for compound analgesics use 1-10 years prior to index date	9981	21347
cmpd_analg_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for compound analgesics use 1-10 years prior to index date	0	1
PPI_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for PPI drug use 1-10 years prior to index date	11270	21371
PPI_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for PPI drug use 1-10 years prior to index date	0	1
H2recanta_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for H2 receptor antagonist drug use 1-10 years prior to index date	9957	21094
H2recanta_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for H2 receptor antagonist drug use 1-10 years prior to index date	0	1
imm_resp_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for immune response drug use 1-10 years prior to index date	11415	20748
imm_resp_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for immune response drug use 1-10 years prior to index date	0	1
azathioprine_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for azathioprine drug use 1-10 years prior to index date	11427	20474
azathioprine_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for azathioprine drug use 1-10 years prior to index date	0	1
methotrexate_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for methotrexate drug use 1-10 years prior to index date	11415	20748
methotrexate_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for methotrexate drug use 1-10 years prior to index date	0	1
SABA_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for SABA drug use 1-10 years prior to index date	10066	21375
SABA_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for SABA drug use 1-10 years prior to index date	0	1
LABA_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for LABA drug use 1-10 years prior to index date	11302	21372
LABA_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for LABA drug use 1-10 years prior to index date	0	1
mucolytic_alt_lt10_date	numeric	1st Prescription Event Date: ever have 2+ codes w/in 6 months for mucolytic drug use 1-10 years prior to index date	10430	21299
mucolytic_alt_lt10	numeric	Flag: ever have 2+ codes w/in 6 months for mucolytic drug use 1-10 years prior to index date	0	1
