column	type	label	min	max
StrokeRelated_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for stroke-related 1-10 years prior to index date	0	1
StrokeRelated_Stroke_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for stroke 1-10 years prior to index date	11688	20321
StrokeRelated_Stroke_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for stroke 1-10 years prior to index date	0	1
StrokeRelated_TIA_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for TIA 1-10 years prior to index date	11330	20195
StrokeRelated_TIA_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for TIA 1-10 years prior to index date	0	1
Osteoarthritis_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for osteoarthritis 1-10 years prior to index date	9862	21220
Osteoarthritis_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for osteoarthritis 1-10 years prior to index date	0	1
Osteoporosis_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for osteoporosis 1-10 years prior to index date	11120	20683
Osteoporosis_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for osteoporosis 1-10 years prior to index date	0	1
Anemia_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for anemia 1-10 years prior to index date	10715	20948
Anemia_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for anemia 1-10 years prior to index date	0	1
ThyroidDisease_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for thyroid disease 1-10 years prior to index date	10805	20830
ThyroidDisease_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for thyroid disease 1-10 years prior to index date	0	1
WeightProb_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for weight problems 1-10 years prior to index date	11266	20507
WeightProb_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for weight problems 1-10 years prior to index date	0	1
WeightProb_Overweight_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for overweight 1-10 years prior to index date	12241	20507
WeightProb_Overweight_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for overweight 1-10 years prior to index date	0	1
WeightProb_Obese_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for obesity 1-10 years prior to index date	11266	19951
WeightProb_Obese_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for obesity 1-10 years prior to index date	0	1
InSitu_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for  in-situ cancers 1-10 years prior to index date	13149	19190
InSitu_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for  in-situ cancers 1-10 years prior to index date	0	1
Gallbladder_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for gallbladder 1-10 years prior to index date	11667	21002
Gallbladder_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for gallbladder 1-10 years prior to index date	0	1
Psychiatric_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for psychiatric disorders 1-10 years prior to index date	9862	21206
Psychiatric_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for psychiatric disorders 1-10 years prior to index date	0	1
Psychiatric_Depress_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for depression 1-10 years prior to index date	10227	21206
Psychiatric_Depress_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for depression 1-10 years prior to index date	0	1
Psychiartic_Anxiety_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for anxiety 1-10 years prior to index date	10721	19765
Psychiartic_Anxiety_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for anxiety 1-10 years prior to index date	0	1
Psychiatric_Panic_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for panic disorders 1-10 years prior to index date	11007	18626
Psychiatric_Panic_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for panic disorders 1-10 years prior to index date	0	1
Psychiatric_Other_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for other psychiatric disorders 1-10 years prior to index date	9959	19579
Psychiatric_Other_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for other psychiatric disorders 1-10 years prior to index date	0	1
Hernia_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for hernia 1-10 years prior to index date	9862	20650
Hernia_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for hernia 1-10 years prior to index date	0	1
NeuroDis_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for neurological problems/disorders 1-10 years prior to index date	9862	21034
NeuroDis_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for neurological problems/disorders 1-10 years prior to index date	0	1
NeuroDis_Epilepsy_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for epilepsy 1-10 years prior to index date	11914	19324
NeuroDis_Epilepsy_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for epilepsy 1-10 years prior to index date	0	1
NeuroDis_PainSens_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for pain or strange sensations 1-10 years prior to index date	9862	20724
NeuroDis_PainSens_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for pain or strange sensations 1-10 years prior to index date	0	1
NeuroDis_Park_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Parkinsons 1-10 years prior to index date	12205	21034
NeuroDis_Park_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Parkinsons 1-10 years prior to index date	0	1
NeuroDis_MS_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for multiple sclerosis 1-10 years prior to index date	12423	17682
NeuroDis_MS_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for multiple sclerosis 1-10 years prior to index date	0	1
DementiaAlzheimers_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for dementia/Alzheimers 1-10 years prior to index date	13447	21003
DementiaAlzheimers_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for dementia/Alzheimers 1-10 years prior to index date	0	1
Alcohol_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for alcohol 1-10 years prior to index date	9862	21223
Alcohol_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for alcohol 1-10 years prior to index date	0	1
Alcohol_Former_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for former alcohol consumption 1-10 years prior to index date	11641	20773
Alcohol_Former_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for former alcohol consumption 1-10 years prior to index date	0	1
Alcohol_None_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for no alcohol consumption 1-10 years prior to index date	11134	21229
Alcohol_None_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for no alcohol consumption 1-10 years prior to index date	0	1
Alcohol_Consume_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for alcohol consumption 1-10 years prior to index date	10637	21223
Alcohol_Consume_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for alcohol consumption 1-10 years prior to index date	0	1
Alcohol_Consume_Low_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for alcohol consumption - light 1-10 years prior to index date	10904	21108
Alcohol_Consume_Low_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for alcohol consumption - light 1-10 years prior to index date	0	1
Alcohol_Consume_High_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for alcohol consumption - heavy 1-10 years prior to index date	10989	20002
Alcohol_Consume_High_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for alcohol consumption - heavy 1-10 years prior to index date	0	1
Alcohol_Consume_NA_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for alcohol consumption - level unknown 1-10 years prior to index date	10637	21223
Alcohol_Consume_NA_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for alcohol consumption - level unknown 1-10 years prior to index date	0	1
MaleConditions_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for male conditions 1-10 years prior to index date	9862	20867
MaleConditions_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for male conditions 1-10 years prior to index date	0	1
MaleConditions_ED_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for erectile dysfunction 1-10 years prior to index date	13880	20867
MaleConditions_ED_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for erectile dysfunction 1-10 years prior to index date	0	1
MaleConditions_BPH_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for benign prostate hyperplasia 1-10 years prior to index date	9862	19921
MaleConditions_BPH_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for benign prostate hyperplasia 1-10 years prior to index date	0	1
Keratosis_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for keratosis 1-10 years prior to index date	11345	21066
Keratosis_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for keratosis 1-10 years prior to index date	0	1
IBS_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for IBS 1-10 years prior to index date	10983	19724
IBS_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for IBS 1-10 years prior to index date	0	1
FemaleConditions_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for female conditions 1-10 years prior to index date	10651	20403
FemaleConditions_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for female conditions 1-10 years prior to index date	0	1
InfectInflam_AI_Lupus_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Lupus 1-10 years prior to index date	11248	19463
InfectInflam_AI_Lupus_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Lupus 1-10 years prior to index date	0	1
InfectInflam_AI_IDP_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for IDP 1-10 years prior to index date	13948	13948
InfectInflam_AI_IDP_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for IDP 1-10 years prior to index date	0	1
InfectInflam_AI_oth2_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for AI other 1-10 years prior to index date	10748	20844
InfectInflam_AI_oth2_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for AI other 1-10 years prior to index date	0	1
InfectInflam_AI_Alo_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Alopecia 1-10 years prior to index date	14245	20038
InfectInflam_AI_Alo_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Alopecia 1-10 years prior to index date	0	1
InfectInflam_AI_PolyR_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Polymylagia rheumatica 1-10 years prior to index date	11452	20377
InfectInflam_AI_PolyR_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Polymylagia rheumatica 1-10 years prior to index date	0	1
InfectInflam_AI_Rose_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Rosacea 1-10 years prior to index date	11035	20279
InfectInflam_AI_Rose_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Rosacea 1-10 years prior to index date	0	1
InfectInflam_GI_Dys_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Dyspepsia 1-10 years prior to index date	9862	20492
InfectInflam_GI_Dys_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Dyspepsia 1-10 years prior to index date	0	1
InfectInflam_GI_Ulc_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Ulcer 1-10 years prior to index date	10958	17317
InfectInflam_GI_Ulc_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Ulcer 1-10 years prior to index date	0	1
InfectInflam_GI_Other_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for GI Other 1-10 years prior to index date	9862	18364
InfectInflam_GI_Other_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for GI Other 1-10 years prior to index date	0	1
InfectInflam_GI_Gastr_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Gastritis 1-10 years prior to index date	11161	20262
InfectInflam_GI_Gastr_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Gastritis 1-10 years prior to index date	0	1
InfectInflam_GI_Ose_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Oseophagitis 1-10 years prior to index date	11059	18658
InfectInflam_GI_Ose_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Oseophagitis 1-10 years prior to index date	0	1
InfectInflam_GI_Inf_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for GI Infectious 1-10 years prior to index date	12632	19605
InfectInflam_GI_Inf_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for GI Infectious 1-10 years prior to index date	0	1
InfectInflam_GI_Chol_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Cholecystitis 1-10 years prior to index date	15149	15149
InfectInflam_GI_Chol_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Cholecystitis 1-10 years prior to index date	0	1
InfectInflam_GI_IChol_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Infectious Cholecystitis 1-10 years prior to index date	12422	18604
InfectInflam_GI_IChol_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Infectious Cholecystitis 1-10 years prior to index date	0	1
InfectInflam_GI_GERD_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for GERD 1-10 years prior to index date	10742	20557
InfectInflam_GI_GERD_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for GERD 1-10 years prior to index date	0	1
InfectInflam_GI_HP_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for HP 1-10 years prior to index date	13359	19849
InfectInflam_GI_HP_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for HP 1-10 years prior to index date	0	1
InfectInflam_GI_NIIGC_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for NIIGC 1-10 years prior to index date	13531	20411
InfectInflam_GI_NIIGC_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for NIIGC 1-10 years prior to index date	0	1
InfectInflam_GI_Aden_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Adenitis 1-10 years prior to index date	Inf	-Inf
InfectInflam_GI_Aden_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Adenitis 1-10 years prior to index date	0	0
InfectInflam_GI_Calc_alt_lt10_d	numeric	1st Medcode Event Date: Ever have 2+ MEDCODES 30 days apart for Calculus 1-10 years prior to index date	Inf	-Inf
InfectInflam_GI_Calc_alt_lt10	numeric	Flag: Ever have 2+ MEDCODES 30 days apart for Calculus 1-10 years prior to index date	0	0
NMSC_UNKNOWN_gt10	numeric	Flag: Ever have a MEDCODE for NMSC unknown >10 years prior to index date	0	1
NMSC_UNKNOWN_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for NMSC unknown >10 years prior to index date	9986	14294
HealthyDiet_gt10	numeric	Flag: Ever have a MEDCODE for healthy diet >10 years prior to index date	0	1
HealthyDiet_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for healthy diet >10 years prior to index date	10744	18115
HighExercise_gt10	numeric	Flag: Ever have a MEDCODE for high exercise  >10 years prior to index date	0	1
HighExercise_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for high exercise  >10 years prior to index date	12109	17584
FHCancer_gt10	numeric	Flag: Ever have a MEDCODE for family history of cancer >10 years prior to index date	0	1
FHCancer_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for family history of cancer >10 years prior to index date	9952	17861
InfectInflam_gt10	numeric	Flag: Ever have a MEDCODE for infections and inflammation >10 years prior to index date	0	1
InfectInflam_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections and inflammation >10 years prior to index date	9862	18052
InfectInflam_Pneum_gt10	numeric	Flag: Ever have a MEDCODE for pneumonia >10 years prior to index date	0	1
InfectInflam_Pneum_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for pneumonia >10 years prior to index date	9862	17192
InfectInflam_Heart_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting heart >10 years prior to index date	0	1
InfectInflam_Heart_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting heart >10 years prior to index date	10159	14269
InfectInflam_HN_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting head and neck >10 years prior to index date	0	1
InfectInflam_HN_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting head and neck >10 years prior to index date	9862	18112
InfectInflam_Menin_gt10	numeric	Flag: Ever have a MEDCODE for meningitis >10 years prior to index date	0	1
InfectInflam_Menin_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for meningitis >10 years prior to index date	9970	13149
InfectInflam_Hep_gt10	numeric	Flag: Ever have a MEDCODE for hepatitis >10 years prior to index date	0	1
InfectInflam_Hep_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hepatitis >10 years prior to index date	11834	16491
InfectInflam_TB_gt10	numeric	Flag: Ever have a MEDCODE for tuberculosis >10 years prior to index date	0	1
InfectInflam_TB_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for tuberculosis >10 years prior to index date	10714	16778
InfectInflam_Herpes_gt10	numeric	Flag: Ever have a MEDCODE for herpes (not zoster) >10 years prior to index date	0	1
InfectInflam_Herpes_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for herpes (not zoster) >10 years prior to index date	9862	17553
InfectInflam_UT_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting urinary tract >10 years prior to index date	0	1
InfectInflam_UT_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting urinary tract >10 years prior to index date	9862	18109
InfectInflam_GI_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting GI tract >10 years prior to index date	0	1
InfectInflam_GI_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting GI tract >10 years prior to index date	9862	18010
InfectInflam_GI_Diver_gt10	numeric	Flag: Ever have a MEDCODE for diverticula >10 years prior to index date	0	1
InfectInflam_GI_Diver_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for diverticula >10 years prior to index date	9862	17870
InfectInflam_GI_Haem_gt10	numeric	Flag: Ever have a MEDCODE for haemorrhoids >10 years prior to index date	0	1
InfectInflam_GI_Haem_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for haemorrhoids >10 years prior to index date	9862	17951
InfectInflam_OBGYN_gt10	numeric	Flag: Ever have a MEDCODE for OBGYN-associated infections >10 years prior to index date	0	1
InfectInflam_OBGYN_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for OBGYN-associated infections >10 years prior to index date	9862	17981
InfectInflam_Limb_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting limbs >10 years prior to index date	0	1
InfectInflam_Limb_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting limbs >10 years prior to index date	10058	18081
InfectInflam_Skin_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting skin >10 years prior to index date	0	1
InfectInflam_Skin_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting skin >10 years prior to index date	9862	17976
InfectInflam_Bone_gt10	numeric	Flag: Ever have a MEDCODE for infections affecting bones and soft tissue >10 years prior to index date	0	1
InfectInflam_Bone_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting bones and soft tissue >10 years prior to index date	9862	17206
InfectInflam_Septi_gt10	numeric	Flag: Ever have a MEDCODE for septicaemia >10 years prior to index date	0	1
InfectInflam_Septi_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for septicaemia >10 years prior to index date	9862	15928
InfectInflam_Enceph_gt10	numeric	Flag: Ever have a MEDCODE for encephalitis >10 years prior to index date	0	1
InfectInflam_Enceph_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for encephalitis >10 years prior to index date	12002	16471
InfectInflam_Flu_gt10	numeric	Flag: Ever have a MEDCODE for influenza >10 years prior to index date	0	1
InfectInflam_Flu_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for influenza >10 years prior to index date	10231	18170
InfectInflam_Malaria_gt10	numeric	Flag: Ever have a MEDCODE for malaria >10 years prior to index date	0	1
InfectInflam_Malaria_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for malaria >10 years prior to index date	10503	17734
InfectInflam_Shingles_gt10	numeric	Flag: Ever have a MEDCODE for shingles >10 years prior to index date	0	1
InfectInflam_Shingles_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for shingles >10 years prior to index date	9862	18105
InfectInflam_Dental_gt10	numeric	Flag: Ever have a MEDCODE for dental issues >10 years prior to index date	0	1
InfectInflam_Dental_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for dental issues >10 years prior to index date	11117	15579
InfectInflam_Resp_gt10	numeric	Flag: Ever have a MEDCODE for respiratory infections >10 years prior to index date	0	1
InfectInflam_Resp_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for respiratory infections >10 years prior to index date	9862	18007
InfectInflam_UResp_gt10	numeric	Flag: Ever have a MEDCODE for upper respiratory infections >10 years prior to index date	0	1
InfectInflam_UResp_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for upper respiratory infections >10 years prior to index date	9885	18196
InfectInflam_Arthrit_gt10	numeric	Flag: Ever have a MEDCODE for arthritis >10 years prior to index date	0	1
InfectInflam_Arthrit_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for arthritis >10 years prior to index date	10168	17596
InfectInflam_Gout_gt10	numeric	Flag: Ever have a MEDCODE for gout >10 years prior to index date	0	1
InfectInflam_Gout_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for gout >10 years prior to index date	9862	17945
InfectInflam_AI_gt10	numeric	Flag: Ever have a MEDCODE for autoimmune conditions >10 years prior to index date	0	1
InfectInflam_AI_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for autoimmune conditions >10 years prior to index date	9862	17994
InfectInflam_AI_IBD_gt10	numeric	Flag: Ever have a MEDCODE for IBD >10 years prior to index date	0	1
InfectInflam_AI_IBD_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for IBD >10 years prior to index date	9862	16769
InfectInflam_AI_RA_gt10	numeric	Flag: Ever have a MEDCODE for rheumatoid arthritis >10 years prior to index date	0	1
InfectInflam_AI_RA_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for rheumatoid arthritis >10 years prior to index date	9862	17188
InfectInflam_AI_Psor_gt10	numeric	Flag: Ever have a MEDCODE for psoriasis >10 years prior to index date	0	1
InfectInflam_AI_Psor_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for psoriasis >10 years prior to index date	9862	17862
InfectInflam_AI_other_gt10	numeric	Flag: Ever have a MEDCODE for other autoimmune conditions >10 years prior to index date	0	1
InfectInflam_AI_other_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for other autoimmune conditions >10 years prior to index date	9862	18001
InfectInflam_AI_LThy_gt10	numeric	Flag: Ever have a MEDCODE for hypothyroidism >10 years prior to index date	0	1
InfectInflam_AI_LThy_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hypothyroidism >10 years prior to index date	9862	17888
InfectInflam_AI_DMT1_gt10	numeric	Flag: Ever have a MEDCODE for type 1 diabetes >10 years prior to index date	0	1
InfectInflam_AI_DMT1_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for type 1 diabetes >10 years prior to index date	10227	17037
InfectInflam_COPD_gt10	numeric	Flag: Ever have a MEDCODE for COPD >10 years prior to index date	0	1
InfectInflam_COPD_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for COPD >10 years prior to index date	9862	17518
CVD_gt10	numeric	Flag: Ever have a MEDCODE for cardiovascular disease >10 years prior to index date	0	1
CVD_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for cardiovascular disease >10 years prior to index date	9862	18086
CVD_ValveProblem_gt10	numeric	Flag: Ever have a MEDCODE for valve problem >10 years prior to index date	0	1
CVD_ValveProblem_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for valve problem >10 years prior to index date	10227	17030
CVD_CHD_gt10	numeric	Flag: Ever have a MEDCODE for coronary heart disease >10 years prior to index date	0	1
CVD_CHD_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for coronary heart disease >10 years prior to index date	9862	17800
CVD_CHD_Angina_gt10	numeric	Flag: Ever have a MEDCODE for angina >10 years prior to index date	0	1
CVD_CHD_Angina_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for angina >10 years prior to index date	9862	17762
CVD_CHD_Infarction_gt10	numeric	Flag: Ever have a MEDCODE for infarction >10 years prior to index date	0	1
CVD_CHD_Infarction_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infarction >10 years prior to index date	9862	17800
CVD_HF_gt10	numeric	Flag: Ever have a MEDCODE for heart failure >10 years prior to index date	0	1
CVD_HF_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for heart failure >10 years prior to index date	9862	17664
CVD_HF_Precursor_gt10	numeric	Flag: Ever have a MEDCODE for precursor to heart failure >10 years prior to index date	0	1
CVD_HF_Precursor_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for precursor to heart failure >10 years prior to index date	9862	17664
CVD_HF_Failure_gt10	numeric	Flag: Ever have a MEDCODE for actual heart failure >10 years prior to index date	0	1
CVD_HF_Failure_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for actual heart failure >10 years prior to index date	9862	17287
CVD_Hypertension_gt10	numeric	Flag: Ever have a MEDCODE for hypertension >10 years prior to index date	0	1
CVD_Hypertension_gt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hypertension >10 years prior to index date	9862	18025
